"It would have been quite simple for Kinsey to have measured the two dimensions separately and report scores independently to avoid loss of information .","For what purpose did Kinsey report scores independently ?","to avoid loss of information","AmPncQgTemplate"
"This resulted in Allied aid being parachuted behind Axis lines to assist the Partisans .","For what purpose being Allied aid parachuted behind Axis lines ?","to assist the Partisans","AmPncQgTemplate"
"Therefore , to maintain a charge balance in the lumen , sodium is carried with it , along with water .","For what purpose is sodium carried with it ?","to maintain a charge balance in the lumen","AmPncQgTemplate"
"According to the special theory of relativity , in the high - speed particle 's frame of reference , it exists , on the average , for a standard amount of time known as its mean lifetime , and the distance it travels in that time is zero , because its velocity is zero .","Why is the distance it travels in that time zero ?","because its velocity is zero","AmCauQgTemplate"
"Should prove effective as a large poster "" because "" in hundreds of thousands of cases a really striking emblem may be the first cause of awakening interest in a movement .","Why Should effective as a large poster prove ?","because "" in hundreds of thousands of cases a really striking emblem may be the first cause of awakening interest in a movement","AmCauQgTemplate"
"The committee considered an eight - bit code , since eight bits ( octets ) would allow two four - bit patterns to efficiently encode two digits with binary - coded decimal .","Why did The committee consider an eight - bit code ?","since eight bits ( octets ) would allow two four - bit patterns to efficiently encode two digits with binary - coded decimal","AmCauQgTemplate"
"This is done to limit the temporal spread of quantization noise accompanying the transient .","For what purpose is This done ?","to limit the temporal spread of quantization noise accompanying the transient","AmPncQgTemplate"
"Also in these books , Athanasius put forward the belief that the Son of God , the eternal Word through whom God created the world , entered that world in human form to lead men back into the harmony from which they had earlier fallen away .","For what purpose did the Son of God , the eternal Word through whom God created the world enter that world in human form ?","to lead men back into the harmony from which they had earlier fallen away","AmPncQgTemplate"
"As a result of continued warming , the polar ice caps melted and much of Gondwana became a desert .","Why became much of Gondwana became a desert ?","As a result of continued warming","AmCauQgTemplate"
"In the subtractive color system , used in painting and color printing , green is created by a combination of yellow and blue , or yellow and cyan ; in the RGB color model , used on television and computer screens , it is one of the additive primary colors , along with red and blue , which are mixed in different combinations to create all other colors .","For what purpose are the additive primary colors , along with red and blue mixed in different combinations ?","to create all other colors","AmPncQgTemplate"
"The equilibrium ratio of orthohydrogen to parahydrogen depends on temperature , but because the ortho form is an excited state and has a higher energy than the para form , it is unstable and can not be purified .","Why is it unstable ?","because the ortho form is an excited state and has a higher energy than the para form","AmCauQgTemplate"
"The equilibrium ratio of orthohydrogen to parahydrogen depends on temperature , but because the ortho form is an excited state and has a higher energy than the para form , it is unstable and can not be purified .","Why can it be not purified ?","because the ortho form is an excited state and has a higher energy than the para form","AmCauQgTemplate"
"Cultural anthropology in particular has emphasized cultural relativism , holism , and the use of findings to frame cultural critiques .","For what purpose has Cultural anthropology emphasized cultural relativism , holism , and the use of findings in particular ?","to frame cultural critiques","AmPncQgTemplate"
